name,Market Name,location__coordinates__001,location__coordinates__002,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
Rohit bhaiya Mumbai, ,"26°54'47.6""N","75°48'11.7""E",Jaipur,Rajasthan,vada pav,Masala Pav,4 star ,5 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737906869/WhatsApp_Image_2025-01-22_at_19.05.29_1_is11is.jpg
Dili Nathar Chole Kulche,,"26°53'36.7""N","75°44'45.9""E",Jaipur,Rajasthan,chole kulche,chole kulche,4 star ,5 star ,5 star ,
Anchal Chaat Bhandar,,"26°52'18.5""N","75°41'58.1""E",Jaipur,Rajasthan,chaat ,chaat,4 star ,4 star ,5 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737909553/WhatsApp_Image_2025-01-22_at_19.05.30_1_esrzia.jpg
Balaji fast food centre,,"26°52'20.7""N","75°41'48.0""E",Jaipur,Rajasthan,Samosa,Kaachori,4 star ,3 Star,5 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737911922/WhatsApp_Image_2025-01-22_at_19.05.30_5_ybh5c9.jpg
Shri Balaji Fast food,,"26°52'22.3""N","75°41'43.1""E",Jaipur,Rajasthan,French Fries,Honey Chilli Patato,3 Star,3 Star,4 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737912063/WhatsApp_Image_2025-01-22_at_19.05.31_2_wtssgl.jpg
Mahakal Fast food,,"26°52'23.5""N ","75°41'39.6""E",Jaipur,Rajasthan,Burger,,3 Star,4 star,4 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737912064/WhatsApp_Image_2025-01-22_at_19.05.31_3_mihond.jpg
Rahul Patashi Centre,,"26°52'25.7""N","75°41'34.2""E",Jaipur,Rajasthan,pani puri ,pani puri ,3 Star,5 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737912065/WhatsApp_Image_2025-01-22_at_19.05.32_1_exkwur.jpg
Bajali Patashi Centre,,"26°54'06.0""N ","75°46'28.9""E",Jaipur,Rajasthan,pani puri ,pani puri ,3 Star,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737567407/WhatsApp_Image_2025-01-21_at_19.10.54_t63ped.jpg
Gupta Ji Chaat Bhandar,,"26°53'49.1""N","75°46'15.0""E",Jaipur,Rajasthan,papdi chaat,dahi chaat,3 Star,5 star ,5 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737567407/WhatsApp_Image_2025-01-21_at_19.11.10_tzcswy.jpg
Amratsari Naan Kulche,,"26°53'44.2""N","75°46'13.9""E",Jaipur,Rajasthan,amritsari naan kulche ,amritsari naan kulche,3 star,5 star ,5 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737567407/WhatsApp_Image_2025-01-21_at_19.11.11_azenhh.jpg
Parvat Patashi,,"26°53'32.8""N","
 75°46'09.7""E
",Jaipur,Rajasthan,patashi,pani puri ,3 star, 5 star,4 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737567408/WhatsApp_Image_2025-01-21_at_19.11.12_m6np8j.jpg
Shri Krishna Parantha centre,,"26°54'54.8""N","75°48'21.9""E",Jaipur,Rajasthan,parantha ,parantha ,3 Star,4 star ,3 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737564345/WhatsApp_Image_2025-01-22_at_19.05.26_2_ryq5u8.jpg
Pintu bhai mumbai ka wada pav,,"26°54'53.5""N","75°48'21.3""E",Jaipur,Rajasthan,vada pav,vada pav,4 star ,4 star ,3 star ,https://res.cloudinary.com/drwzldebq/image/upload/v1737564345/WhatsApp_Image_2025-01-22_at_19.05.28_ubul6h.jpg
Shri ganesh Chaat Bhandar,,"26°54'53.5""N","75°48'21.3""E",Jaipur,Rajasthan,chaat,chaat,4 star ,4 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737564346/WhatsApp_Image_2025-01-22_at_19.05.28_1_c9unvx.jpg
Anil Gol Gappa,,"26°54'47.8""N","75°48'11.6""E",Jaipur,Rajasthan,gol gappe,chaat,4 star ,4 star,5 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737906869/WhatsApp_Image_2025-01-22_at_19.05.29_2_fvdw3m.jpg
Rohit bhaiya Mumbai,,"26°54'47.6""N","75°48'11.7""E",Jaipur,Rajasthan,vada pav,Masala Pav,4 star ,5 star,4 star,https://res.cloudinary.com/drwzldebq/image/upload/v1737906869/WhatsApp_Image_2025-01-22_at_19.05.29_1_is11is.jpg
Dili Nathar Chole Kulche,,"26°53'36.7""N","75°44'45.9""E",Jaipur,Rajasthan,chole kulche,chole kulche,4 star ,5 star ,5 star ,
