name,location__type,latitude,longitude,City,State,foodItems__-,foodItems,hygieneRating,tasteRating,hospitalityRating,photoUrl
Healthy bites,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,butter chicken,chaap,3 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391307/health_bites_t6twjb.jpg
Corn Dog,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,corn,ramen,4 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391306/corn_dog_sg2tex.jpg
Anand Mithibai vada pav,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,vada pav,dosa,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391304/anand_mithi_bai_y5wiqt.jpg
DFC korean point,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,maggi,ramen,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391306/dfc_korean_point_hwj5cv.jpg
DFC kulhad pizza,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,pizza,juices,4 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391307/dfc_kulhad_pizza_cdghq8.jpg
Pooja malai gola,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,gola,ice cream,3 star,4 star ,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738392082/pooja_malai_gola_nr1zh6.jpg
Conical Gaufres,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,stick waffles,ice cream,4 star ,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391307/conical_gaufres_mepb8u.jpg
Shri deva pani puri,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,pani puri,sev puri,5 star ,4 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738392200/shri_deva_pani_puri_wkr45x.jpg
London chocolate strawberries,,19°12′51″ N,72°50′15″ E,Mumbai ,Maharahstra ,chocolate strawberry ,ice cream,5 star ,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391305/london_choclate_strawberries_gsh7km.jpg
The korean house,,19°12′51″ N,72°50′15″ E,Mumbai,Maharahstra ,ramen,sushi,4 star ,5 star ,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738392918/the_korean_house_xyqquh.jpg
Best borivali faluda,,19°12′51″ N,72°50′15″ E,Mumbai,Maharahstra ,faluda,ice cream,4 star,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391306/best_borivali_malai_centre_bhrnmq.jpg
Tandoor se and more,,19°12′51″ N,72°50′15″ E,Mumbai,Maharahstra ,paneer tikka,chole,4 star ,5 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738393033/tandoor_se_and_more_fwhdic.jpg
Bevafa pani puri,,19°12′51″ N,72°50′15″ E,Mumbai,Maharahstra ,pani puri,sev puri,3 star,4 star,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738391307/bevafa_pani_puri_svobzz.jpg
Mani's,,19°11′24″ N,72°58′17″ E,Mumbai,Maharahstra ,dosa ,coffee,5 star,4 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738680369/mani_s_slnszv.jpg
Gokhle misal pav,,19°11′24″ N,72°58′17″ E,Mumbai,Maharahstra ,misal pav ,samosa,5 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738680459/gokhle_bc83zw.jpg
Ashok vada pav,,19°01′30″ N,72°50′20″ E,Mumbai,Maharahstra ,vada pav,samosa,4 star,4 star,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738764259/ashok_vada_pav_vfubnn.jpg
Anand stall,,19°06′00″ N,72°50′30″ E,Mumbai,Maharahstra ,vada pav,dosa,5 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738764357/anand_stall_tohtgo.webp
Badshah Falooda,,18°57′50″ N,72°50′20″ E,Mumbai,Maharahstra ,falooda,ice cream,2 star,3 star,3 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738764495/badshah_falooda_qaafs4.jpg
Sardar Pav Bhaji,,18°58′20″ N,72°49′30″ E,Mumbai,Maharashtra,pav bhaji,misal pav,4 star,5 star,5 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738764758/sardar_izigax.jpg
Aaram vada pav,,18°56′52″ N,72°50′10″ E,Mumbai,Maharashtra,vada pav,pav bhaji,3 star,4 star ,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738764863/aram_mctnnj.jpg
Elco pani puri centre,,19°03′15″ N,72°49′50″ E,Mumbai,Maharashtra,pani puri,sev puri,4 star ,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738765314/elco_xbnfxf.jpg
Amar juice centre ,,19°04′40″ N,72°51′10″ E,Mumbai,Maharashtra,juices,sandwiches,5 star ,4 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738765360/amar_gb2agb.jpg
Bachelor's juice centre,,18°56′40″ N,72°49′20″ E,Mumbai,Maharashtra,juices,sandwiches,5 star ,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738765458/bachelor_s_cljnmw.webp
Gupta chaat centre,,19°01′45″ N,72°51′30″ E,Mumbai,Maharashtra,bhel puri/sev puri,dahi puri,4 star ,5 star ,4 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738765576/gupta_chaat_centre_yua1ke.jpg
Ram ashray,,19°01′55″ N,72°50′55″ E,Mumbai,Maharashtra,dosa ,idli,4 star,5 star ,5 star ,https://res.cloudinary.com/dcafi44ej/image/upload/v1738765653/ram_ashray_p0wdey.jpg
Guru kripa samosa,,19°02′40″ N,72°52′00″ E,Mumbai,Maharashtra,samosa,sandwiches,4 star ,5 star ,4 star,https://res.cloudinary.com/dcafi44ej/image/upload/v1738766709/gurukripa_zuvaua.jpg
